uid,analysisDate,namedLocation,domainID,siteID,plotID,plotType,setDate,collectDate,massSampleMixtureID,cnSampleID,cnSampleCode,sampleType,co2Trapped,d15N,d13C,nitrogenPercent,carbonPercent,CNratio,cnIsotopeQF,cnPercentQF,isotopeAccuracyQF,percentAccuracyQF,analyticalRepNumber,remarks,laboratoryName,testMethod,instrument,analyzedBy,reviewedBy,dataQF,publicationDate,release
0d9e80bd-5b17-4ba3-bd08-47cfda982a76,2023-04-17,BART_073.basePlot.ltr,D01,BART,BART_073,tower,2022-09-12T16:00Z,2022-09-26T16:00Z,NEON.LTR.BART073.20220926.NDL,NEON.LTR.BART073.20220926.NDL.CN,A00000154996,vegetation,N,-2.3,-30.4,0.62,52.77,85.2,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
6a3ea0ea-e05d-43a2-8abb-1a10346f2e4d,2023-04-17,BART_071.basePlot.ltr,D01,BART,BART_071,tower,2022-09-12T16:00Z,2022-09-26T16:00Z,NEON.LTR.BART071.20220926.NDL,NEON.LTR.BART071.20220926.NDL.CN,A00000154980,vegetation,N,1.4,-29.3,0.63,53.09,83.8,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
9e8acc7f-90a5-4d42-adfc-f53c54dfa2e9,2023-04-17,BART_047.basePlot.ltr,D01,BART,BART_047,tower,2022-09-12T16:00Z,2022-09-26T16:00Z,NEON.LTR.BART047.20220926.NDL,NEON.LTR.BART047.20220926.NDL.CN,A00000154930,vegetation,N,-2.3,-30.1,0.52,51.52,99.1,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
415e9a0a-27af-4462-a916-f6359b4d844c,2023-04-17,BART_042.basePlot.ltr,D01,BART,BART_042,tower,2022-09-12T16:00Z,2022-09-27T16:00Z,NEON.LTR.BART042.20220927.NDL,NEON.LTR.BART042.20220927.NDL.CN,A00000154963,vegetation,N,-2,-30.9,0.58,52.64,91,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
fb2d3b13-b365-48a1-a99f-2af3ca866349,2023-04-17,BART_074.basePlot.ltr,D01,BART,BART_074,tower,2022-09-12T16:00Z,2022-09-27T16:00Z,NEON.LTR.BART074.20220927.NDL,NEON.LTR.BART074.20220927.NDL.CN,A00000154949,vegetation,N,-2.6,-30.3,0.56,52.11,93.1,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
ae6d7f85-4d8c-42cd-9f1e-c77b8a72f734,2023-04-17,BART_046.basePlot.ltr,D01,BART,BART_046,tower,2022-09-12T16:00Z,2022-09-27T16:00Z,NEON.LTR.BART046.20220927.NDL,NEON.LTR.BART046.20220927.NDL.CN,A00000154962,vegetation,N,-2.7,-30.7,0.56,52.39,93.8,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
4d531c72-a02e-4349-b65f-7a18fdb908ee,2023-04-17,BART_036.basePlot.ltr,D01,BART,BART_036,tower,2022-09-12T16:00Z,2022-09-27T16:00Z,NEON.LTR.BART036.20220927.NDL,NEON.LTR.BART036.20220927.NDL.CN,A00000154979,vegetation,N,-2.4,-30.7,0.59,52.39,89.1,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
cfde8b1f-731b-43f0-9c2a-b755c969acee,2023-04-17,BART_044.basePlot.ltr,D01,BART,BART_044,tower,2022-09-12T16:00Z,2022-09-27T16:00Z,NEON.LTR.BART044.20220927.NDL,NEON.LTR.BART044.20220927.NDL.CN,A00000154946,vegetation,N,-2.8,-29,0.52,53.48,102.3,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
e03ad7a9-37bf-42e4-9159-91e87ed7f5a2,2023-04-17,BART_050.basePlot.ltr,D01,BART,BART_050,tower,2022-09-12T16:00Z,2022-09-27T16:00Z,NEON.LTR.BART050.20220927.NDL,NEON.LTR.BART050.20220927.NDL.CN,A00000154931,vegetation,N,-3.2,-29.3,0.58,52.77,91.1,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T124245Z,RELEASE-2025
5d0b2c7e-3696-4d06-923a-43cb6423c367,2023-04-27,STEI,D05,STEI,,,2022-08-23T17:00Z,2022-09-20T17:00Z,NEON.LTR.STEI.2022.WDY,NEON.LTR.STEI.2022.WDY.CN,A00000360754,vegetation,N,-4.4,-26.9,0.66,54.79,82.9,OK,OK,OK,OK,1,,University of Wyoming Stable Isotope Facility,"010 EA-IRMS organic d15N, d13C, C% & N%",Costech 4010 Elemental Analyzer with Costech Zero Blank Autosampler plus Thermo Finnigan Delta Plus XP with Finnigan Conflo III Interface,H2ehOOFsaDPhLGs9nIVRag==,bEP9Ut5BMUSEVHTehx6p8Q==,,20241118T123447Z,RELEASE-2025
